text,sentiment
"10 minute school আপনারা সত্যিই অতুলনীয়  আমাদের দেশের মানুষের কমিউনিকেশন এধরণের কোর্সের খুবই দরকার ব্যাক্তিগত পেশাগত দুই ক্ষেত্রেই 
মানুষ সুফল পাবে শিক্ষক হিসেবে তাহসান খান অসাধারণ তার বিশেষ দক্ষতার কথা জানা ছিলো না",positive
অনেকদিন ধরে ভাবতেছি প্রিয় একজন মানুষের কাছ থেকে কমিউনিকেশন স্কিল শিখব,neutral
"মানুষের জীবনে অনেক কিছুই আছে মানুষকে শেখানো লাগে না স্বভাবগতভাবেই মানুষ তা শিখে কারও সাথে communicate করার বিষয়টাও ওই রকমই 
আমার মনে হয় না যে একজন মানুষের ক্যামনে কথা বলতে হয় এইটা শেখার জন্য অন্তত কোনো কোর্স কেনা লাগবে এইটা মানুষ সমাজের মিশে আপনা 
আপনি শিখে যায়যাই হোক অনেক দিন পর একটা ভিন্নধর্মী কোর্স দেখলাম, কেননা জীবনে অনেক কিছুরই তো কোর্স দেখলাম কিন্তু তাহসান ভাইরে আমি 
ব্যক্তিগতভাবে অনেক বেশি ভালোবাসি উনি সত্যি সত্যিই একজন  talented ব্যক্তি",positive
আমার কথা বললে অনেক ভালো লাগে,positive
দেশের বাইরে থেকে 10 minute school কি ভাবে join হব,neutral
অনেক সুন্দর হইছে,positive
শিক্ষণীয়,positive
অসাধারণ,positive
আচ্ছা আপু ক্লাসে যদি মেম বলে যে তুমি নিজেকে সুন্দর করে introduce কর তখন কিভাবে করব তার একটা video দিবে plzzzzzz️️,neutral
আপনার ক্লাস খুব ভালো লাগে আপু।,positive
আপু আপনার ক্লাসটা আমার অনেক ভালো লাগে,positive
ক্লাস টা ভালো লাগলো,positive
"ধন্যবাদ! বাট, ভিডিওটা আরো সংক্ষিপে এবং এই সময়ের মধ্যে আরো কিছু বাক্য দেওয়া যেতো!",negative
অসাধারন,positive
মাশাআল্লাহ,positive
"আপু আপনার বইটা পেয়েছি,, পড়ে অনেক খুসি হলাম,,️️",positive
অসংখ্য ধন্যবাদ আপু,positive
আপু তোমার মতো কেউ বুঝালে আমাদের আর চিন্তা করা লগতো না,positive
"Alhamdulillah nijer somporke porichoy dite parbo temon kichu shikhlam, I'm happy",positive
ধন্যবাদ ম্যাম,positive
সুন্দর,positive
আপু তোমার ক্লাসগুলো থেকে অনেক কিছু শিখা যায়,positive
"ভাইয়া, আমি ভাত খেয়ে আসি? তারপর কথা বলি? ( এটার ইংরেজি কি হবে?)",neutral
আপু তুমার ভিডিও টা খুব ভালো লাগলো।। এতো সুন্দর করে। আমাকে কখন৷ মনে হয় না। ইংরেজি। সিখিয়েছে। তাহলে হইতো। আমি আর ইংরেজি তে ফেল করতাম না। 🫣,positive
আপু আপনি কোন জায়গা থেকে আইইএলটিস করেছেন?,neutral
ভালো,positive
