text,sentiment
Ami mone kori ei rokom hatu vanga english shikte hole kichu dialogue pore nilei cole,negative
Apu etai ki apnar first video jetar kotha RJ Kebriar fm a bolechilen??,neutral
apnar jono ami english siktheperechi,positive
Vidieor ende Kichu word diben please,negative
Mam ami India theke bolchilam hocche na to,negative
Apu apnar dirgho haiat kamona kori,positive
Will anyone teach me to speak English?,neutral
Munjareen tumi Eto valo ke no ?,positive
Spoken English boita ami kinte chai apnar kace.. kemne kinbo munzereen apu?...,positive
Apo next video,positive
Amrao chai English a spoken korta,neutral
Cruuss khaisi apnar proti,neutral
Cruuss khaisi apnar proti,neutral
India theke class korachhen nki bd ?????,neutral
"Ami,,amra muslim sobai",neutral
ape your fist video right,neutral
Course fee koto???,neutral
Apni amak valo apui,positive
Apu sb thik ase but khola cule video post na korle hoina??,negative
Sokuriya apu,positive
Apuu please help me ...Ami English sopken English a bikash korehci but coarse ta open hocchena,neutral
Apu tumi Bangladesher gourob,positive
Ha ha ha ha ha,negative
thst's it? nothing else? ekdom simple hoye gelo na..egolo to class 2 er boi a o ache..... introduce er onno way golo bolle valo hoto.,negative
thst's it? nothing else? ekdom simple hoye gelo na..egolo to class 2 er boi a o ache..... introduce er onno way golo bolle valo hoto.,negative
Ami couse ti krte chai..but ai course ti koto maser jonno..??fee koto..??ai fee ta ki puro courser nki proti mashe fee payment krte hbe..?? Plzz reply me.. Ami kisu bustesi na..reply diben plzzz..,
Tnq. Onik kicho shikty parlim,positive
ami apnar hashi dekhte chai,neutral
First a name bolar dorkar ache khi??,neutral
apu tomar facebook id er name ki ami tomar sathe ad hote cai,neutral
Apnar kan ta pk movie er amir khan er moto,neutral
amar naam ta neya te thanks... my crush.,neutral
I know ami pari,positive
Interview kamon English bolbo,positive 
apnar kotha bolar style ta pura ayman sadiq er moto,positive
Ami amarjebiner cheya Hajrat md.sallahualihe osallsmk besi valobasi,neutral
apu tumi ki niye pora lakha korsen plz bolben?,neutral
Ma'am ami study kori na but ami English shikte chaiplease amke ekto help kore doa,positive
Speak English Apps aponara shobai use korte parena,negative
Amar 9 years,positive
Hi ape I read in class 3,positive
Speak English Apps aponara shobai use korte parena,negative
Appi ami apner Facebook page request diasi plz accept koren!,neutral
Arman valo ache,neutral
Assalamualaikum. Apu ami apnar khache Class korte chai.. ki vabe korbo?? &exam dete chai..,positive
I'm class 8 pore,positive
Apu course nai???,neutral
Apu ami apner kache private porbo,positive
api ami course ta nici.. but pore jokhon ami class gula korbo koi pabo?r audio j book ta ace oita kibabe nibo?,positive
Ato lomba bolo keno simple a bolo,negative
Apnar nijer kono Chanel nai???? Please bolun didi,positive
tumi anek cuteeeeeeee,neutral
I like you apu.aponi kon dese stay koren,positive
Spoken English r vocabulary boi duti ki kore pabo ami India theke bolchhi.,positive
Hello... Ami vasik kibabe tik korbo bolben plzzzz,positive
Apu tomar gonitar class nay,neutral
Aru valo hobe..mem ok,positive
Apni dekteh amr ek fnd der mto same to same,neutral
Kub vAlo vedio apo,positive
Apu too er place a so so dwbo,neutral
Ki vave birthday Wes korbo,positive
Ami valo bashi,neutral
Ami aikhan theke rj Kibria vai er show te jai,positive
Apur speaking er jnno kono course ase online a??,positive
Hahahahahah lol,negative
Rj kibriar o munjareen apur video ta dekhei akhne ashlm,positive
Apu agolo ai vabe youtube a thakla TKa diya kina ki lav,negative
Ami parbo amar bissah,positive
Mam Afnan namrta Dan Ami cllss koro o,neutral
Ha chai,positive
Aro video chai pleas,positive
Ami apnader online class a spoken class korte chai kintu kivabe korbo buzte parsina,positive
Apu r j kibriya bair okany dyky ami o aj tyky friend hoygylam,neutral
2m for rj kibria,neutral
Apo tumi ki army?? Plz bolo,neutral
"Amr online course ta bitha gelo,,,appa dokte ee parsina",negative
Name ke apnar,neutral
Ami 2ta course korta chi but bujta parce na ki korbo plz aktu bolban plz,neutral
Apu apnar koching senter te kothay?,neutral
Spoken English book ta ami kivabe pete pari?,neutral
Apu apnar porda tik rakben,neutral
Tome4 ammo re,neutral
Ka ka amade moha novi hojrot Mohammed ka like koran,neutral
Apni eto cute keno??,neutral
Apu ami apnr kache english shikhbo.ami english e onk kacha plz ans me.,positive
Ami English spoke course korti chai,positive
Munzareen satha khebaba kotha bolbo,neutral
guriye peciye kotha bolo keno etar english ki hobe,positive
Vul bolar sujog nay,negative
Apu amai English sikhabe,positive
Apnar ke WhatsApp asa,neutral
"Ami couse ti korte cassi,,,k k course ti korsen ektu janaben",positive
apu apner numberta diben please. apner class korte chai,positive
Apu tomar ei boita ki kinte parbo?,positive
Mother nationakuty bang la desh,neutral
Sadman r Shuvo ki apnr ex naki?,neutral
Apni amar name bollen,neutral
Fst view Apu Rj kibriya vaiya video dekhe aslam,neutral
Hm.,neutral
Ami tomar kasa spoken shikta cai,positive
Apni Barti kotha besi bolen,negative
Apa chakurite interbew akta video koren,positive
apu pz amr english a kecui parina.....tmi ki alada vbe amk chocing koraba pz ami kub tension asi,neutral
Ami west bengal teke bolchi Ami ki corse ta korte parbo na...,positive
Branding Bangladesh ar golpo suna asasi ka ka asasan like thin,neutral
Assa apu how are you doing ortho to tumi ki koro karon doing ortho to kora to tumi j how are you doing dara bojaila j se kemon ase,negative
Ami chai class 2 ar English chai,positive
Hello apnar shate miss kota aca bola jaba,neutral
apu amara jodi kono party ba kono unosthan e jai tokhin ki bolbo,neutral
Apu tumar kase calls kora jabi kivabi please reply,neutral
Tumi Amer crush,neutral
Arman ta ke apu?,neutral
Onk upokar holo,positive
Rj Kibria r interview dekhe ekhane aslam....ke ke ekmot?,neutral
Ami sajim,positive
Yeah Didi Sania sultana,positive
Rj kibria er kach theke dekhte ashlam,neutral
Mukhosto Budda baranor upay,neutral
Ami,neutral
Mother neme salma aktar,positive
Ami o,positive
Hi apo,neutral
Kotay na kaje porichoy,negative
Hm,neutral
Ami,positive
Ami,positive
Ama ka ke pote den pora ta par ban,neutral
Ami,positive
Ami,positive
Ami,positive
Ami,positive
Besi kotha bolen,negative
Apo akana ki and yoy bola jaba na,neutral
arman,neutral
Ami,positive
Ami,positive
Ami,positive
Ami,positive
ফুচকার English ki apu,neutral
